Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Guests Included;Extra People;Minimum Nights;Number of Reviews;Review Scores Rating;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;City
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;80.0;2;0;5;12;95.0;10.0;9.0;9.0;10.0;9.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;80.0;1;0;2;1;80.0;8.0;8.0;8.0;8.0;;strict;Barcelona
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;79.0;1;0;3;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;79.0;1;10;1;0;;;;;;;moderate;Madrid
Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;50.0;1;10;3;3;90.0;8.0;7.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;18.0;1;0;1;8;95.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;52.0;1;0;2;48;97.0;10.0;10.0;10.0;10.0;10.0;strict;Barcelona
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;18.0;3;12;1;119;91.0;9.0;10.0;10.0;10.0;9.0;strict;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;75.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;70.0;2;20;3;0;;;;;;;strict;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;55.0;1;0;2;29;93.0;9.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;105.0;1;0;1;0;;;;;;;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;1;13;1;192;97.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;23.0;1;9;1;2;90.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;200.0;1;0;2;2;90.0;9.0;10.0;10.0;10.0;10.0;flexible;Oakland
Condominium;Entire home/apt;2;1.0;1.0;1.0;Real Bed;77.0;1;0;5;4;95.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;80.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;55.0;2;10;1;71;94.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;90.0;2;15;2;5;92.0;8.0;8.0;9.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;55.0;1;30;1;3;87.0;7.0;10.0;10.0;10.0;10.0;moderate;Madrid
House;Private room;1;1.0;1.0;1.0;Real Bed;35.0;1;30;2;11;89.0;9.0;9.0;10.0;9.0;9.0;flexible;Madrid
Loft;Entire home/apt;2;2.0;1.0;1.0;Real Bed;50.0;2;20;1;1;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid, Comunidad de Madrid, ES
Apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;89.0;2;15;4;48;98.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;79.0;1;0;2;1;;;;;;;strict;Barcelona
House;Private room;1;1.0;;;Real Bed;20.0;1;0;1;1;100.0;8.0;8.0;6.0;6.0;6.0;flexible;Madrid
Apartment;Entire home/apt;1;1.0;1.0;1.0;Real Bed;60.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Private room;1;2.0;1.0;1.0;Real Bed;32.0;1;0;7;0;;;;;;;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;50.0;2;5;2;67;95.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;50.0;1;10;2;16;86.0;9.0;9.0;9.0;8.0;8.0;flexible;Madrid
Apartment;Entire home/apt;6;2.0;2.0;5.0;Real Bed;130.0;2;25;3;51;94.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;70.0;1;0;2;1;80.0;10.0;8.0;10.0;10.0;10.0;strict;Madrid
House;Private room;1;1.0;1.0;1.0;Real Bed;23.0;1;0;20;5;92.0;9.0;10.0;9.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;40.0;1;5;2;6;93.0;10.0;9.0;10.0;8.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;89.0;1;5;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;3;2.0;2.0;3.0;Real Bed;90.0;1;0;2;56;96.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;140.0;3;12;3;44;99.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;24.0;1;5;3;5;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;25.0;1;0;2;5;100.0;10.0;10.0;10.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;8;2.0;3.0;6.0;Real Bed;87.0;4;5;2;16;95.0;10.0;10.0;10.0;9.0;10.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;75.0;1;0;1;1;;;;;;;flexible;Madrid
Chalet;Entire home/apt;8;2.0;4.0;5.0;Real Bed;188.0;1;0;7;0;;;;;;;strict;Betlem
Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;140.0;2;20;28;1;20.0;4.0;2.0;2.0;8.0;4.0;strict;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;27.0;1;0;1;1;100.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;1;5;2;1;100.0;8.0;10.0;10.0;8.0;10.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;1;5;2;7;100.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;40.0;2;0;2;0;;;;;;;flexible;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;14.0;1;0;1;1;100.0;10.0;10.0;10.0;8.0;8.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;60.0;1;0;2;23;91.0;9.0;10.0;10.0;9.0;9.0;flexible;Madrid
Apartment;Private room;1;2.0;1.0;1.0;Real Bed;17.0;1;0;2;37;90.0;9.0;9.0;9.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;125.0;4;20;2;67;95.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;80.0;2;15;2;12;92.0;9.0;10.0;10.0;10.0;9.0;flexible;Madrid
Apartment;Private room;1;3.0;1.0;1.0;Real Bed;35.0;1;0;7;0;;;;;;;strict;Madrid
Apartment;Private room;3;1.5;1.0;2.0;Real Bed;14.0;1;10;1;47;83.0;8.0;9.0;9.0;8.0;9.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;28.0;1;5;2;10;94.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;;2.0;Real Bed;82.0;1;5;2;0;;;;;;;strict;Madrid
House;Entire home/apt;8;4.0;3.0;3.0;Real Bed;140.0;6;20;5;2;80.0;5.0;9.0;10.0;8.0;8.0;strict;Alcúdia
Apartment;Shared room;4;1.0;1.0;4.0;Real Bed;20.0;1;20;1;0;;;;;;;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;55.0;1;15;2;100;99.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;54.0;2;10;2;3;93.0;10.0;10.0;10.0;9.0;10.0;moderate;Madrid
Apartment;Entire home/apt;6;1.0;3.0;6.0;Real Bed;62.0;2;9;1;135;80.0;8.0;8.0;9.0;9.0;8.0;flexible;Wien
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;59.0;2;10;2;43;96.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;21.0;1;5;2;12;92.0;10.0;9.0;9.0;9.0;9.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;23.0;2;10;1;129;85.0;8.0;9.0;9.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;5;1.0;1.0;3.0;Pull-out Sofa;59.0;2;19;1;28;93.0;9.0;10.0;10.0;9.0;10.0;strict;Madrid
